CUI1,REL,CUI2,SAB
C0000744,Has parent relationship,C0020597,MSH
C0000744,Has parent relationship,C0268197,CSP
C0000744,Has a broader relationship,C0268197,CSP
C0000744,Related and possibly synonymous,C0020597,CSP
C0000744,Related and possibly synonymous,C0687751,CSP
C0000744,Has parent relationship,C0154251,NCI
C0000744,Has parent relationship,C1709838,NCI
C0000744,Has parent relationship,C0020597,ORPHANET
C0000744,Has parent relationship,C0687751,ORPHANET
C0000809,Has other relationship,C0008679,CSP
C0000809,Has parent relationship,C0277556,SNOMEDCT_US
C0000823,Has child relationship,C0302363,MSH
C0000823,Has parent relationship,C0003047,MSH
C0000833,Has child relationship,C0006105,MSH
C0000833,Has child relationship,C0024110,MSH
C0000833,Has child relationship,C0031024,MSH
C0000833,Has child relationship,C0031085,MSH
C0000833,Has child relationship,C0031157,MSH
C0000833,Has child relationship,C0085222,MSH
C0000833,Has child relationship,C0155843,MSH
C0000833,Has child relationship,C0243001,MSH
C0000833,Has child relationship,C0270629,MSH
C0000833,Has other relationship,C0014009,MSH
C0000833,Has other relationship,C0009450,MEDLINEPLUS
C0000833,Has child relationship,C0021874,SNOMEDCT_US
C0000833,Has child relationship,C0155842,SNOMEDCT_US
C0000833,Has child relationship,C0155843,SNOMEDCT_US
C0000833,Has child relationship,C0272396,SNOMEDCT_US
C0000833,Has child relationship,C4303863,SNOMEDCT_US
C0000833,Has parent relationship,C0012634,SNOMEDCT_US
C0000833,Has child relationship,C0006105,HPO
C0000833,Has child relationship,C0023885,HPO
C0000833,Has child relationship,C0024110,HPO
C0000833,Has child relationship,C0151463,HPO
C0000833,Has child relationship,C0238334,HPO
C0000833,Has child relationship,C0238434,HPO
C0000833,Has child relationship,C0262666,HPO
C0000833,Has child relationship,C0263109,HPO
C0000833,Has child relationship,C0267567,HPO
C0000833,Has child relationship,C0267756,HPO
C0000833,Has child relationship,C0518988,HPO
C0000833,Has child relationship,C0521631,HPO
C0000833,Has other relationship,C0006105,SNOMEDCT_US
C0000833,Has other relationship,C0014013,SNOMEDCT_US
C0000833,Has other relationship,C0014013,SNOMEDCT_US
C0000833,Has other relationship,C0021874,SNOMEDCT_US
C0000833,Has other relationship,C0023885,SNOMEDCT_US
C0000833,Has other relationship,C0023886,SNOMEDCT_US
C0000833,Has other relationship,C0024110,SNOMEDCT_US
C0000833,Has other relationship,C0030785,SNOMEDCT_US
C0000833,Has other relationship,C0031019,SNOMEDCT_US
C0000833,Has other relationship,C0031024,SNOMEDCT_US
C0000833,Has other relationship,C0031085,SNOMEDCT_US
C0000833,Has other relationship,C0031157,SNOMEDCT_US
C0000833,Has other relationship,C0038539,SNOMEDCT_US
C0000833,Has other relationship,C0038565,SNOMEDCT_US
C0000833,Has other relationship,C0041343,SNOMEDCT_US
C0000833,Has other relationship,C0041343,SNOMEDCT_US
C0000833,Has other relationship,C0085222,SNOMEDCT_US
C0000833,Has other relationship,C0151463,SNOMEDCT_US
C0000833,Has other relationship,C0155091,SNOMEDCT_US
C0000833,Has other relationship,C0155842,SNOMEDCT_US
C0000833,Has other relationship,C0155843,SNOMEDCT_US
C0000833,Has other relationship,C0156253,SNOMEDCT_US
C0000833,Has other relationship,C0156253,SNOMEDCT_US
C0000833,Has other relationship,C0237962,SNOMEDCT_US
C0000833,Has other relationship,C0238334,SNOMEDCT_US
C0000833,Has other relationship,C0238434,SNOMEDCT_US
C0000833,Has other relationship,C0243001,SNOMEDCT_US
C0000833,Has other relationship,C0262666,SNOMEDCT_US
C0000833,Has other relationship,C0263109,SNOMEDCT_US
C0000833,Has other relationship,C0263109,SNOMEDCT_US
C0000833,Has other relationship,C0263115,SNOMEDCT_US
C0000833,Has other relationship,C0266909,SNOMEDCT_US
C0000833,Has other relationship,C0267567,SNOMEDCT_US
C0000833,Has other relationship,C0267756,SNOMEDCT_US
C0000833,Has other relationship,C0267760,SNOMEDCT_US
C0000833,Has other relationship,C0270629,SNOMEDCT_US
C0000833,Has other relationship,C0272396,SNOMEDCT_US
C0000833,Has other relationship,C0272412,SNOMEDCT_US
C0000833,Has other relationship,C0342174,SNOMEDCT_US
C0000833,Has other relationship,C0518988,SNOMEDCT_US
C0000833,Has other relationship,C0521631,SNOMEDCT_US
C0000833,Has other relationship,C0745601,SNOMEDCT_US
C0000833,Has other relationship,C0919935,SNOMEDCT_US
C0000833,Has other relationship,C1510428,SNOMEDCT_US
C0000833,Has other relationship,C4303863,SNOMEDCT_US
C0000833,Has child relationship,C0021874,NCI
C0000833,Has child relationship,C0023885,NCI
C0000833,Has child relationship,C0024110,NCI
C0000833,Has child relationship,C0030785,NCI
C0000833,Has child relationship,C0031019,NCI
C0000833,Has child relationship,C0031157,NCI
C0000833,Has child relationship,C0034223,NCI
C0000833,Has child relationship,C0038565,NCI
C0000833,Has child relationship,C0041343,NCI
C0000833,Has child relationship,C0155091,NCI
C0000833,Has child relationship,C0155842,NCI
C0000833,Has child relationship,C0155843,NCI
C0000833,Has child relationship,C0156253,NCI
C0000833,Has child relationship,C0237962,NCI
C0000833,Has child relationship,C0243001,NCI
C0000833,Has child relationship,C0263115,NCI
C0000833,Has child relationship,C0267760,NCI
C0000833,Has child relationship,C0272396,NCI
C0000833,Has child relationship,C0272412,NCI
C0000833,Has child relationship,C0342174,NCI
C0000833,Has child relationship,C0518988,NCI
C0000833,Has child relationship,C0750053,NCI
C0000833,Has child relationship,C0919935,NCI
C0000833,Has child relationship,C1963776,NCI
C0000833,Has child relationship,C4288374,NCI
C0000833,Has parent relationship,C0009450,NCI
C0000880,Has parent relationship,C0002438,MSH
C0000880,Has parent relationship,C0015406,MSH
C0000880,Has parent relationship,C0022568,MSH
C0000880,Has parent relationship,C0033740,NCI
C0000880,Has parent relationship,C0729777,NCI
C0000880,Has parent relationship,C3898765,ORPHANET
C0000889,Has parent relationship,C0025209,MSH
C0000889,Has a narrower relationship,C1842307,MSH
C0000889,Has a narrower relationship,C1852406,MSH
C0000889,Has a narrower relationship,C1963745,MSH
C0000889,Has a narrower relationship,C2677099,MSH
C0000889,Has parent relationship,C0037274,CSP
C0000889,Has a broader relationship,C0037274,CSP
C0000889,Has other relationship,C0019247,CSP
C0000889,Has other relationship,C0549567,CSP
C0000889,Has child relationship,C1842307,SNOMEDCT_US
C0000889,Has child relationship,C1852406,SNOMEDCT_US
C0000889,Has child relationship,C2677099,SNOMEDCT_US
C0000889,Has child relationship,C4305258,SNOMEDCT_US
C0000889,Has child relationship,C5437068,SNOMEDCT_US
C0000889,Has parent relationship,C0011603,NCI
C0001125,Has a narrower relationship,C1837429,MSH
C0001125,Has a narrower relationship,C1839413,MSH
C0001125,Has a narrower relationship,C1850718,MSH
C0001125,Has a narrower relationship,C1855553,MSH
C0001125,Has a narrower relationship,C1855565,MSH
C0001125,Has a narrower relationship,C1857682,MSH
C0001125,Has a narrower relationship,C1864002,MSH
C0001125,Has a narrower relationship,C1864843,MSH
C0001125,Has other relationship,C0795692,MSH
C0001125,Related and possibly synonymous,C0023264,CSP
C0001125,Related and possibly synonymous,C0023264,CSP
C0001125,Has child relationship,C1839437,HPO
C0001125,Has child relationship,C1844917,HPO
C0001125,Has child relationship,C4025276,HPO
C0001125,Has child relationship,C4025277,HPO
C0001125,Has child relationship,C4025278,HPO
C0001125,Has child relationship,C0034345,SNOMEDCT_US
C0001125,Has child relationship,C4305259,SNOMEDCT_US
C0001125,Has child relationship,C4310761,SNOMEDCT_US
C0001125,Has child relationship,C4518539,SNOMEDCT_US
C0001125,Has child relationship,C4750855,SNOMEDCT_US
C0001126,Has a narrower relationship,C0268435,MSH
C0001126,Has a narrower relationship,C1704380,MSH
C0001126,Has parent relationship,C0035091,MSH
C0001126,Has a narrower relationship,C0345407,MSH
C0001126,Has a narrower relationship,C1864498,MSH
C0001126,Has a narrower relationship,C1970309,MSH
C0001126,Has parent relationship,C0035091,CSP
C0001126,Has a broader relationship,C0035091,CSP
C0001126,Has child relationship,C0268435,HPO
C0001126,Has child relationship,C1704380,HPO
C0001126,Has child relationship,C1857395,HPO
C0001126,Has parent relationship,C0151747,HPO
C0001126,Has child relationship,C0268435,SNOMEDCT_US
C0001126,Has child relationship,C0376185,SNOMEDCT_US
C0001126,Has child relationship,C1704380,SNOMEDCT_US
C0001126,Has child relationship,C4749942,SNOMEDCT_US
C0001126,Has child relationship,C0268435,NCI
C0001126,Has child relationship,C1704380,NCI
C0001126,Has child relationship,C1704380,NCI
C0001126,Has child relationship,C4054066,NCI
C0001127,Has parent relationship,C0035204,CSP
C0001127,Has a broader relationship,C0035204,CSP
C0001127,Has child relationship,C0268047,HPO
C0001127,Has child relationship,C0268048,HPO
C0001127,Has child relationship,C0268047,SNOMEDCT_US
C0001127,Has child relationship,C0268048,SNOMEDCT_US
C0001139,Has parent relationship,C1258225,MSH
C0001139,Has parent relationship,C5139227,HPO
C0001144,Has a broader relationship,C0702166,MSH
C0001144,Has child relationship,C0263442,MSH
C0001144,Has parent relationship,C0036502,MSH
C0001144,Has a narrower relationship,C1858361,MSH
C0001144,Has other relationship,C0162836,MSH
C0001144,Related and possibly synonymous,C0702166,MEDLINEPLUS
C0001144,Has other relationship,C0010666,SNOMEDCT_US
C0001144,Has other relationship,C0221228,SNOMEDCT_US
C0001144,Has other relationship,C0333128,SNOMEDCT_US
C0001144,Has other relationship,C0406481,SNOMEDCT_US
C0001144,Has other relationship,C0406481,SNOMEDCT_US
C0001144,Has parent relationship,C0702166,SNOMEDCT_US
C0001144,Has parent relationship,C0011603,NCI
C0001145,Has parent relationship,C0016436,MSH
C0001145,Has parent relationship,C0016436,SNOMEDCT_US
C0001163,Has other relationship,C2919207,SNOMEDCT_US
C0001163,Has child relationship,C0271270,MSH
C0001163,Has child relationship,C0751908,MSH
C0001163,Has parent relationship,C0010266,MSH
C0001163,Has parent relationship,C0035352,MSH
C0001163,Has a narrower relationship,C1845095,MSH
C0001163,Has other relationship,C0018776,MSH
C0001163,Has child relationship,C2919207,SNOMEDCT_US
C0001163,Has child relationship,C4521678,SNOMEDCT_US
C0001163,Has parent relationship,C0010266,SNOMEDCT_US
C0001163,Has parent relationship,C4721453,SNOMEDCT_US
C0001163,Has child relationship,C2919207,NCI
C0001163,Has parent relationship,C0010266,NCI
C0001169,Has other relationship,C0272271,SNOMEDCT_US
C0001169,Has other relationship,C0272325,SNOMEDCT_US
C0001169,Has other relationship,C0272328,SNOMEDCT_US
C0001169,Has other relationship,C0392610,SNOMEDCT_US
C0001169,Has other relationship,C0398609,SNOMEDCT_US
C0001169,Has other relationship,C1096116,SNOMEDCT_US
C0001169,Has other relationship,C0272271,SNOMEDCT_US
C0001169,Has other relationship,C0272328,SNOMEDCT_US
C0001169,Has other relationship,C0392610,SNOMEDCT_US
C0001169,Has other relationship,C0398609,SNOMEDCT_US
C0001169,Has child relationship,C0272325,SNOMEDCT_US
C0001169,Has child relationship,C0272328,SNOMEDCT_US
C0001169,Has child relationship,C0392610,SNOMEDCT_US
C0001169,Has child relationship,C1096116,SNOMEDCT_US
C0001169,Has parent relationship,C0272315,SNOMEDCT_US
C0001169,Has child relationship,C0238120,NCI
C0001169,Has child relationship,C0272325,NCI
C0001169,Has child relationship,C0272328,NCI
C0001169,Has child relationship,C0392610,NCI
C0001169,Has child relationship,C0398609,NCI
C0001169,Has child relationship,C4329254,NCI
C0001169,Has child relationship,C4329255,NCI
C0001169,Has child relationship,C4329256,NCI
C0001169,Has child relationship,C4329257,NCI
C0001169,Has child relationship,C4329258,NCI
C0001169,Has child relationship,C4331989,NCI
C0001169,Has parent relationship,C0272315,NCI
C0001175,Has parent relationship,C0019693,MSH
C0001175,Has parent relationship,C0037341,MSH
C0001175,Has other relationship,C0001849,MSH
C0001175,Has other relationship,C0752330,MSH
C0001175,Has child relationship,C0237967,CSP
C0001175,Has parent relationship,C0019693,CSP
C0001175,Has parent relationship,C0039082,CSP
C0001175,Has parent relationship,C0596032,CSP
C0001175,Has a broader relationship,C0019693,CSP
C0001175,Has a broader relationship,C0039082,CSP
C0001175,Has a broader relationship,C0596032,CSP
C0001175,Has a narrower relationship,C0237967,CSP
C0001175,Has other relationship,C0206178,CSP
C0001175,Has other relationship,C0872315,CSP
C0001175,Has other relationship,C1535939,CSP
C0001175,Related and possibly synonymous,C0001857,CSP
C0001175,Related and possibly synonymous,C0343755,CSP
C0001175,Has other relationship,C0019693,SNOMEDCT_US
C0001175,Has other relationship,C0019693,SNOMEDCT_US
C0001175,Has other relationship,C0343755,SNOMEDCT_US
C0001175,Has child relationship,C0221027,ORPHANET
C0001175,Has child relationship,C0343755,ORPHANET
C0001175,Has child relationship,C5191336,ORPHANET
C0001175,Has parent relationship,C0019693,PSY
C0001175,Has parent relationship,C0036916,PSY
C0001175,Has parent relationship,C0039082,PSY
C0001175,Has a broader relationship,C0019693,PSY
C0001175,Has a broader relationship,C0036916,PSY
C0001175,Has a broader relationship,C0039082,PSY
C0001175,Has other relationship,C0001849,PSY
C0001175,Has parent relationship,C1274233,NCI
C0001175,Has other relationship,C0264511,NCI
C0001175,Has other relationship,C1333292,NCI
C0001175,Has other relationship,C5197664,NCI
C0001197,Has parent relationship,C0011603,MSH
C0001197,Has a narrower relationship,C0221036,MSH
C0001197,Has parent relationship,C0011603,NCI
C0001197,Has parent relationship,C1709838,NCI
C0001197,Related and possibly synonymous,C0011603,CSP
C0001206,Has parent relationship,C0005942,MSH
C0001206,Has parent relationship,C0020506,MSH
C0001206,Has a narrower relationship,C0796182,MSH
C0001206,Has parent relationship,C0005941,CSP
C0001206,Has parent relationship,C0020506,CSP
C0001206,Has a broader relationship,C0005941,CSP
C0001206,Has a broader relationship,C0020506,CSP
C0001206,Has other relationship,C0017547,CSP
C0001206,Has parent relationship,C0039082,NCI
C0001206,Has parent relationship,C1709838,NCI
C0001206,Related and possibly synonymous,C0032002,MEDLINEPLUS
C0001206,Has child relationship,C4304407,SNOMEDCT_US
C0001206,Has parent relationship,C0020506,SNOMEDCT_US
C0001206,Has other relationship,C1735881,HPO
C0001231,Has parent relationship,C0027670,MSH
C0001231,Has other relationship,C0027670,MSH
C0001231,Has other relationship,C0342442,SNOMEDCT_US
C0001231,Has parent relationship,C0851689,NCI
C0001231,Has parent relationship,C0001622,SNOMEDCT_US
C0001231,Has parent relationship,C0342442,ORPHANET
C0001247,Has parent relationship,C0001249,MSH
C0001247,Has parent relationship,C0003047,MSH
C0001249,Has child relationship,C0001247,MSH
C0001249,Has parent relationship,C0085397,MSH
C0001249,Has parent relationship,C0085423,SNOMEDCT_US
C0001255,Has child relationship,C0001261,MSH
C0001255,Has child relationship,C0010153,MSH
C0001255,Has child relationship,C0026918,MSH
C0001255,Has child relationship,C0028242,MSH
C0001255,Has parent relationship,C0085426,MSH
C0001255,Has child relationship,C0023343,CSP
C0001255,Has child relationship,C0028242,CSP
C0001255,Has child relationship,C0041296,CSP
C0001255,Has parent relationship,C0004623,CSP
C0001255,Has parent relationship,C0029118,CSP
C0001255,Has a broader relationship,C0004623,CSP
C0001255,Has a broader relationship,C0029118,CSP
C0001255,Has a narrower relationship,C0023343,CSP
C0001255,Has a narrower relationship,C0028242,CSP
C0001255,Has a narrower relationship,C0041296,CSP
C0001255,Has parent relationship,C0004623,NCI
C0001255,Has child relationship,C0001261,SNOMEDCT_US
C0001255,Has child relationship,C1261283,SNOMEDCT_US
C0001255,Has parent relationship,C0004623,SNOMEDCT_US
C0001255,Has other relationship,C0001261,SNOMEDCT_US
C0001261,Has child relationship,C0001264,MSH
C0001261,Has child relationship,C0023788,MSH
C0001261,Has parent relationship,C0001255,MSH
C0001261,Has other relationship,C0001255,SNOMEDCT_US
C0001261,Has child relationship,C0001264,SNOMEDCT_US
C0001261,Has parent relationship,C0001255,SNOMEDCT_US
C0001261,Has child relationship,C0001264,NCI
C0001261,Has child relationship,C1261283,NCI
C0001261,Has parent relationship,C0004623,NCI
C0001264,Has parent relationship,C0001261,MSH
C0001264,Has parent relationship,C0162627,MSH
C0001264,Has parent relationship,C0001261,SNOMEDCT_US
C0001264,Has parent relationship,C0001261,NCI
C0001306,Has other relationship,C0019187,SNOMEDCT_US
C0001306,Has parent relationship,C0019187,NCI
C0001306,Has parent relationship,C0267797,NCI
C0001309,Has other relationship,C0009766,SNOMEDCT_US
C0001309,Has other relationship,C0009766,SNOMEDCT_US
C0001309,Has other relationship,C0009773,SNOMEDCT_US
C0001309,Has other relationship,C0022577,SNOMEDCT_US
C0001309,Has parent relationship,C0009766,SNOMEDCT_US
C0001309,Has parent relationship,C0155141,SNOMEDCT_US
C0001309,Has parent relationship,C0009766,NCI
C0001309,Has parent relationship,C0155141,NCI
C0001311,Has other relationship,C0006271,SNOMEDCT_US
C0001311,Has other relationship,C0878555,SNOMEDCT_US
C0001311,Has other relationship,C1272766,SNOMEDCT_US
C0001311,Related and possibly synonymous,C0149514,CSP
C0001311,Has other relationship,C0006271,SNOMEDCT_US
C0001311,Has other relationship,C0878555,SNOMEDCT_US
C0001311,Has parent relationship,C0006271,SNOMEDCT_US
C0001311,Has parent relationship,C0006271,NCI
C0001314,Has parent relationship,C0752357,MSH
C0001314,Has other relationship,C0018378,CSP
C0001314,Has other relationship,C0022660,CSP
C0001314,Has other relationship,C0149514,CSP
C0001314,Has other relationship,C1306859,CSP
C0001314,Related and possibly synonymous,C0162565,CSP
C0001314,Related and possibly synonymous,C0162565,CSP
C0001314,Has child relationship,C0086774,SNOMEDCT_US
C0001314,Has child relationship,C0151467,SNOMEDCT_US
C0001314,Has child relationship,C0856825,SNOMEDCT_US
C0001314,Has child relationship,C0948245,SNOMEDCT_US
C0001314,Has child relationship,C1300287,SNOMEDCT_US
C0001314,Has child relationship,C2349403,SNOMEDCT_US
C0001314,Has parent relationship,C0012634,SNOMEDCT_US
C0001327,Has other relationship,C0023067,SNOMEDCT_US
C0001327,Has other relationship,C0749165,SNOMEDCT_US
C0001327,Has other relationship,C0853195,SNOMEDCT_US
C0001327,Has other relationship,C0023067,SNOMEDCT_US
C0001327,Has parent relationship,C0023067,SNOMEDCT_US
C0001327,Has child relationship,C0010380,NCI
C0001327,Has parent relationship,C0023067,NCI
C0001339,Has child relationship,C0267937,NCI
C0001339,Has parent relationship,C0030305,NCI
C0001339,Related and possibly synonymous,C0030305,MEDLINEPLUS
C0001339,Has parent relationship,C0030305,HPO
C0001339,Has child relationship,C0267937,SNOMEDCT_US
C0001339,Has child relationship,C0267940,SNOMEDCT_US
C0001339,Has child relationship,C0267941,SNOMEDCT_US
C0001339,Has parent relationship,C0030305,SNOMEDCT_US
C0001339,Has a broader relationship,C0030305,MSH
C0001342,Has other relationship,C0031085,SNOMEDCT_US
C0001342,Has other relationship,C4268580,SNOMEDCT_US
C0001342,Has other relationship,C4268581,SNOMEDCT_US
C0001342,Has other relationship,C4268582,SNOMEDCT_US
C0001342,Has other relationship,C4268584,SNOMEDCT_US
C0001342,Has other relationship,C4268585,SNOMEDCT_US
C0001342,Has other relationship,C4270809,SNOMEDCT_US
C0001342,Has child relationship,C4268580,SNOMEDCT_US
C0001342,Has child relationship,C4268581,SNOMEDCT_US
C0001342,Has child relationship,C4268582,SNOMEDCT_US
C0001342,Has child relationship,C4268584,SNOMEDCT_US
C0001342,Has child relationship,C4268585,SNOMEDCT_US
C0001342,Has child relationship,C4270809,SNOMEDCT_US
C0001342,Has parent relationship,C0031099,SNOMEDCT_US
C0001342,Has parent relationship,C0031099,NCI
C0001344,Has other relationship,C0031350,SNOMEDCT_US
C0001344,Has other relationship,C0031350,SNOMEDCT_US
C0001344,Has child relationship,C0001361,SNOMEDCT_US
C0001344,Has parent relationship,C0031350,SNOMEDCT_US
C0001344,Has child relationship,C0009443,NCI
C0001344,Has parent relationship,C0031350,NCI
C0001360,Has other relationship,C0040150,SNOMEDCT_US
C0001360,Has other relationship,C0342174,SNOMEDCT_US
C0001360,Has other relationship,C0040150,SNOMEDCT_US
C0001360,Has other relationship,C0342174,SNOMEDCT_US
C0001360,Has parent relationship,C0040147,SNOMEDCT_US
C0001360,Has child relationship,C0040150,NCI
C0001360,Has parent relationship,C0040147,NCI
C0001361,Has other relationship,C0040425,SNOMEDCT_US
C0001361,Has other relationship,C0040425,SNOMEDCT_US
C0001361,Has parent relationship,C0040425,NCI
C0001361,Has parent relationship,C0001344,SNOMEDCT_US
C0001361,Has parent relationship,C0040425,SNOMEDCT_US
C0001363,Has parent relationship,C0400883,SNOMEDCT_US
C0001363,Has parent relationship,C2004435,NCI
C0001396,Has parent relationship,C0018794,MSH
C0001396,Has parent relationship,C0039082,NCI
C0001396,Has parent relationship,C0006111,SNOMEDCT_US
C0001396,Has other relationship,C0155700,SNOMEDCT_US
C0001396,Has other relationship,C0264886,SNOMEDCT_US
C0001396,Has other relationship,C0264886,SNOMEDCT_US
C0001403,Has parent relationship,C0004364,CSP
C0001403,Has parent relationship,C0020595,CSP
C0001403,Has a broader relationship,C0004364,CSP
C0001403,Has a broader relationship,C0020595,CSP
C0001403,Related and possibly synonymous,C0085860,CSP
C0001403,Has other relationship,C0271737,SNOMEDCT_US
C0001403,Has other relationship,C1846044,SNOMEDCT_US
C0001403,Has other relationship,C4054695,SNOMEDCT_US
C0001403,Has other relationship,C4707238,SNOMEDCT_US
C0001403,Has other relationship,C0001621,MEDLINEPLUS
C0001403,Has other relationship,C0004364,MEDLINEPLUS
C0001403,Has other relationship,C0014130,MEDLINEPLUS
C0001403,Related and possibly synonymous,C0001623,MEDLINEPLUS
C0001403,Source asserted synonymy,C0001623,MEDLINEPLUS
C0001403,Source asserted synonymy,C0405580,MEDLINEPLUS
C0001403,Has child relationship,C0085859,SNOMEDCT_US
C0001403,Has child relationship,C0271737,SNOMEDCT_US
C0001403,Has parent relationship,C0405580,SNOMEDCT_US
C0001403,Has other relationship,C5848257,SNOMEDCT_US
C0001403,Has other relationship,C3887896,HPO
C0001403,Has other relationship,C3887896,HPO
C0001403,Has child relationship,C1868690,MSH
C0001403,Has parent relationship,C0001623,MSH
C0001403,Has parent relationship,C0004364,MSH
C0001403,Has parent relationship,C0001621,PSY
C0001403,Has parent relationship,C0039082,PSY
C0001403,Has a broader relationship,C0001621,PSY
C0001403,Has a broader relationship,C0039082,PSY
C0001403,Has other relationship,C0041296,PSY
C0001403,Has child relationship,C0271737,NCI
C0001403,Has parent relationship,C3887896,NCI
C0001427,Has parent relationship,C0027441,SNOMEDCT_US
C0001427,Has other relationship,C0009443,SNOMEDCT_US
C0001486,Has child relationship,C0001487,MSH
C0001486,Has child relationship,C0019191,MSH
C0001486,Has parent relationship,C0012922,MSH
C0001486,Has other relationship,C5788229,SNOMEDCT_US
C0001486,Related and possibly synonymous,C0042769,MEDLINEPLUS
C0001486,Has child relationship,C4744690,NCI
C0001486,Has child relationship,C4763551,NCI
C0001486,Has parent relationship,C0042769,NCI
C0001486,Has child relationship,C5788229,SNOMEDCT_US
C0001486,Has parent relationship,C0042769,SNOMEDCT_US
C0001487,Has a narrower relationship,C0031351,MSH
C0001487,Has parent relationship,C0001486,MSH
C0001519,Has parent relationship,C0028866,MSH
C0001519,Has parent relationship,C1145628,MSH
C0001519,Has parent relationship,C0039082,NCI
C0001519,Has parent relationship,C1709838,NCI
C0001529,Has parent relationship,C0023801,MSH
C0001529,Has parent relationship,C1709838,NCI
C0001576,Has child relationship,C0015556,MSH
C0001576,Has child relationship,C0029928,MSH
C0001576,Has child relationship,C0242172,MSH
C0001576,Has parent relationship,C0017411,MSH
C0001577,Related and possibly synonymous,C0242172,CSP
C0001577,Has child relationship,C0036130,NCI
C0001577,Has child relationship,C0036133,NCI
C0001577,Has parent relationship,C0242172,NCI
C0001577,Has a broader relationship,C0242172,MSH
C0001614,Has parent relationship,C0001621,MSH
C0001614,Has child relationship,C0001622,SNOMEDCT_US
C0001614,Has child relationship,C0271728,SNOMEDCT_US
C0001614,Has child relationship,C0342494,SNOMEDCT_US
C0001614,Has child relationship,C0405580,SNOMEDCT_US
C0001614,Has child relationship,C1384514,SNOMEDCT_US
C0001614,Has parent relationship,C0001621,SNOMEDCT_US
C0001614,Has other relationship,C0001621,SNOMEDCT_US
C0001614,Has other relationship,C0001621,SNOMEDCT_US
C0001621,Has child relationship,C0001614,MSH
C0001621,Has child relationship,C0001622,MSH
C0001621,Has child relationship,C0001623,MSH
C0001621,Has child relationship,C0001627,MSH
C0001621,Has parent relationship,C0014130,MSH
C0001621,Has a narrower relationship,C2678492,MSH
C0001621,Has child relationship,C0001622,CSP
C0001621,Has child relationship,C0001622,CSP
C0001621,Has child relationship,C0001627,CSP
C0001621,Has child relationship,C0010481,CSP
C0001621,Has child relationship,C0020428,CSP
C0001621,Has child relationship,C0020595,CSP
C0001621,Has child relationship,C0020595,CSP
C0001621,Has child relationship,C0162309,CSP
C0001621,Has child relationship,C0349368,CSP
C0001621,Has child relationship,C1621895,CSP
C0001621,Has parent relationship,C0014130,CSP
C0001621,Has a broader relationship,C0014130,CSP
C0001621,Has a narrower relationship,C0001622,CSP
C0001621,Has a narrower relationship,C0001622,CSP
C0001621,Has a narrower relationship,C0001627,CSP
C0001621,Has a narrower relationship,C0010481,CSP
C0001621,Has a narrower relationship,C0020428,CSP
C0001621,Has a narrower relationship,C0020595,CSP
C0001621,Has a narrower relationship,C0020595,CSP
C0001621,Has a narrower relationship,C0162309,CSP
C0001621,Has a narrower relationship,C0349368,CSP
C0001621,Has a narrower relationship,C1621895,CSP
C0001621,Related and possibly synonymous,C0206081,CSP
C0001621,Has other relationship,C0001614,SNOMEDCT_US
C0001621,Has other relationship,C0001614,SNOMEDCT_US
C0001621,Has other relationship,C0001403,MEDLINEPLUS
C0001621,Has other relationship,C0010481,MEDLINEPLUS
C0001621,Has other relationship,C0014130,MEDLINEPLUS
C0001621,Related and possibly synonymous,C0001627,MEDLINEPLUS
C0001621,Has child relationship,C0001614,SNOMEDCT_US
C0001621,Has child relationship,C0001622,SNOMEDCT_US
C0001621,Has child relationship,C0001623,SNOMEDCT_US
C0001621,Has child relationship,C0919935,SNOMEDCT_US
C0001621,Has child relationship,C1621895,SNOMEDCT_US
C0001621,Has child relationship,C5574647,SNOMEDCT_US
C0001621,Has parent relationship,C0014130,SNOMEDCT_US
C0001621,Has child relationship,C0001403,PSY
C0001621,Has child relationship,C0010481,PSY
C0001621,Has parent relationship,C0014130,PSY
C0001621,Has a broader relationship,C0014130,PSY
C0001621,Has a narrower relationship,C0001403,PSY
C0001621,Has a narrower relationship,C0010481,PSY
C0001621,Has other relationship,C0032002,PSY
C0001621,Has parent relationship,C1335774,NCI
C0001622,Has parent relationship,C0001621,CSP
C0001622,Has a broader relationship,C0001621,CSP
C0001622,Has other relationship,C0010481,CSP
C0001622,Has other relationship,C0020428,CSP
C0001622,Has parent relationship,C0001621,CSP
C0001622,Has a broader relationship,C0001621,CSP
C0001622,Has other relationship,C0010481,CSP
C0001622,Has child relationship,C0001231,SNOMEDCT_US
C0001622,Has child relationship,C0271725,SNOMEDCT_US
C0001622,Has child relationship,C0342442,SNOMEDCT_US
C0001622,Has child relationship,C2062388,SNOMEDCT_US
C0001622,Has parent relationship,C0001621,SNOMEDCT_US
